"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Quantidade produzida (Toneladas)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Jequié (BA)";"16";"-";"32";"-";"9200";"-";"...";"2610";"-";"-";"-";"...";"-";"-";"-";"50";"-";"-";"-";"77";"-";"126";"15";"-";"91";"341";"2700";"-";"-";"164";"-";"-";"4";"-";"-";"-";"10";"-"
"Jeremoabo (BA)";"-";"-";"-";"-";"1000";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"980";"-";"-";"-";"143";"-";"-";"24";"-";"-";"-";"58";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jiquiriçá (BA)";"40";"-";"-";"-";"4378";"19";"...";"1661";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"11";"36";"-";"-";"-";"-";"136";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-"
"Jitaúna (BA)";"6";"-";"11";"-";"2292";"-";"...";"3033";"-";"-";"-";"...";"-";"-";"-";"867";"-";"-";"-";"25";"-";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-"
"João Dourado (BA)";"-";"-";"-";"-";"11";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"76";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38"
"Juazeiro (BA)";"-";"-";"-";"-";"27755";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"64846";"-";"-";"-";"2825";"-";"-";"5818";"-";"1998";"417566";"2920";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"59819"
"Jucuruçu (BA)";"-";"-";"-";"-";"691";"48";"...";"130";"1716";"-";"1716";"...";"-";"-";"-";"168";"-";"-";"-";"-";"-";"58";"60";"-";"-";"-";"-";"-";"-";"4";"-";"-";"57";"-";"-";"-";"-";"-"
"Jussara (BA)";"-";"-";"-";"-";"78";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"168";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jussari (BA)";"-";"-";"-";"-";"328";"-";"...";"442";"128";"-";"128";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"115";"-";"-";"-";"-";"-";"-";"-";"-"
"Jussiape (BA)";"-";"-";"-";"-";"148";"-";"...";"-";"84";"84";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"113";"2702";"2725";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lafaiete Coutinho (BA)";"-";"-";"-";"-";"11";"-";"...";"-";"60";"60";"-";"...";"-";"-";"-";"-";"-";"-";"-";"4";"-";"4";"-";"-";"-";"16";"1107";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa Real (BA)";"-";"-";"-";"-";"42";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"21";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"384";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Laje (BA)";"-";"-";"-";"-";"3924";"14";"...";"1064";"-";"-";"-";"...";"-";"37";"-";"136";"211";"-";"-";"-";"4";"5633";"-";"-";"288";"-";"637";"-";"-";"-";"-";"-";"-";"-";"224";"-";"15";"-"
"Lajedão (BA)";"-";"-";"-";"-";"38";"-";"...";"-";"79";"-";"79";"...";"-";"-";"-";"11";"-";"-";"-";"-";"-";"10";"-";"-";"4170";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lajedinho (BA)";"-";"-";"-";"-";"158";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lajedo do Tabocal (BA)";"-";"-";"-";"-";"2";"-";"...";"-";"90";"90";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"3206";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lamarão (BA)";"-";"-";"-";"-";"11";"-";"...";"-";"-";"-";"-";"...";"-";"19";"-";"-";"-";"-";"-";"2";"-";"45";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lapão (BA)";"-";"-";"-";"-";"218";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lauro de Freitas (BA)";"-";"-";"-";"-";"10";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lençóis (BA)";"-";"-";"-";"-";"1494";"-";"...";"-";"578";"578";"-";"...";"227";"-";"-";"-";"-";"-";"-";"162";"-";"248";"28";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"692";"-";"-";"-"
"Licínio de Almeida (BA)";"-";"-";"-";"-";"57";"-";"...";"-";"56";"56";"-";"...";"-";"-";"-";"14";"-";"-";"-";"-";"-";"15";"-";"-";"-";"584";"801";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Livramento de Nossa Senhora (BA)";"-";"-";"-";"-";"469";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"54665";"43039";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Luís Eduardo Magalhães (BA)";"-";"-";"-";"-";"216";"-";"...";"-";"2190";"2190";"-";"...";"-";"-";"-";"-";"-";"-";"-";"545";"-";"1964";"204";"-";"22000";"189";"-";"-";"-";"-";"-";"-";"-";"-";"162";"-";"-";"-"
"Macajuba (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Macarani (BA)";"-";"-";"-";"-";"62";"-";"...";"4";"46";"46";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Macaúbas (BA)";"-";"-";"-";"-";"177";"-";"...";"-";"1";"1";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"-";"-";"-";"842";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Macururé (BA)";"-";"-";"-";"-";"13";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Madre de Deus (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Maetinga (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Maiquinique (BA)";"-";"-";"-";"-";"108";"-";"...";"14";"-";"-";"-";"...";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mairi (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Malhada (BA)";"-";"-";"-";"-";"11250";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Malhada de Pedras (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"123";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Manoel Vitorino (BA)";"-";"-";"-";"-";"3";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40";"1040";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mansidão (BA)";"-";"-";"-";"-";"6";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Maracás (BA)";"78";"-";"-";"-";"69";"-";"...";"-";"443";"443";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"21";"-";"-";"67";"405";"2390";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-"
"Maragogipe (BA)";"-";"-";"-";"-";"276";"-";"...";"-";"-";"-";"-";"...";"-";"4";"-";"78";"-";"-";"-";"-";"-";"1759";"57";"-";"14";"-";"34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Maraú (BA)";"7";"-";"14";"-";"4265";"985";"...";"3028";"243";"-";"243";"...";"-";"-";"-";"2591";"110";"-";"-";"-";"5";"261";"-";"-";"-";"90";"-";"-";"-";"206";"-";"-";"37";"-";"-";"-";"8";"-"
"Marcionílio Souza (BA)";"-";"-";"-";"-";"36";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mascote (BA)";"-";"-";"-";"-";"434";"3";"...";"1109";"468";"-";"468";"...";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-"
"Mata de São João (BA)";"-";"-";"-";"-";"133";"-";"...";"4";"-";"-";"-";"...";"-";"-";"-";"1226";"-";"-";"-";"-";"-";"100";"216";"-";"436";"-";"84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Matina (BA)";"-";"-";"-";"-";"72";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"23";"-";"-";"-";"-";"-";"48";"-";"-";"40";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Medeiros Neto (BA)";"-";"-";"-";"-";"87";"-";"...";"-";"150";"-";"150";"...";"-";"-";"-";"57";"-";"-";"-";"-";"-";"31";"-";"-";"5922";"-";"42";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Miguel Calmon (BA)";"-";"-";"-";"-";"688";"-";"...";"-";"20";"20";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-"
"Milagres (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-"
"Mirangaba (BA)";"-";"-";"-";"-";"5068";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"175";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"350";"-";"-";"-";"-"
"Mirante (BA)";"-";"-";"-";"-";"15";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"-";"-";"132";"917";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monte Santo (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"207";"-";"-";"-";"-"
"Morpará (BA)";"-";"-";"-";"-";"5";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"55";"-";"-";"-";"-";"-";"70";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Morro do Chapéu (BA)";"-";"-";"-";"1";"613";"-";"...";"-";"297";"297";"-";"...";"-";"-";"-";"-";"-";"-";"-";"182";"-";"-";"-";"-";"173";"56";"2873";"10";"-";"-";"-";"-";"-";"1131";"-";"-";"-";"12"
"Mortugaba (BA)";"-";"-";"-";"-";"24";"-";"...";"-";"9";"9";"-";"...";"-";"-";"-";"29";"-";"-";"-";"-";"-";"97";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mucugê (BA)";"-";"-";"-";"1";"300";"-";"...";"-";"3446";"3446";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1588";"-";"-";"-";"1125";"6293";"2";"-";"-";"-";"-";"-";"-";"321";"-";"-";"54"
"Mucuri (BA)";"-";"-";"-";"-";"2347";"30";"...";"359";"1614";"-";"1614";"...";"-";"-";"-";"3935";"-";"-";"-";"19";"-";"1067";"250";"-";"31235";"-";"298";"-";"-";"-";"-";"-";"9";"-";"-";"-";"3";"-"
"Mulungu do Morro (BA)";"-";"-";"-";"-";"45";"-";"...";"-";"484";"484";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"929";"-";"-";"-";"-"
"Mundo Novo (BA)";"-";"-";"-";"-";"340";"-";"...";"-";"41";"41";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"264";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Muniz Ferreira (BA)";"-";"-";"-";"-";"1437";"-";"...";"81";"-";"-";"-";"...";"-";"-";"-";"-";"200";"-";"-";"-";"-";"91";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Muquém do São Francisco (BA)";"-";"-";"-";"-";"250";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"25";"-";"-";"-";"20";"-";"-";"-";"-";"35";"-";"104";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Muritiba (BA)";"-";"-";"-";"-";"20";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"6";"-";"-";"-";"-";"-";"2000";"7000";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mutuípe (BA)";"173";"-";"5";"-";"12477";"53";"...";"4111";"17";"-";"17";"...";"-";"21";"-";"9";"-";"-";"-";"-";"29";"109";"-";"-";"-";"-";"68";"-";"-";"-";"-";"-";"8";"-";"-";"-";"5";"-"
"Nazaré (BA)";"-";"-";"-";"-";"449";"-";"...";"14";"-";"-";"-";"...";"-";"-";"-";"83";"272";"-";"-";"-";"-";"114";"199";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nilo Peçanha (BA)";"-";"-";"-";"-";"8493";"336";"...";"2160";"-";"-";"-";"...";"-";"-";"-";"125";"212";"-";"-";"-";"126";"-";"-";"-";"-";"-";"-";"-";"-";"197";"-";"-";"3";"-";"-";"-";"6";"-"
"Nordestina (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1512";"-";"-";"-";"-"
"Nova Canaã (BA)";"15";"-";"-";"-";"1512";"-";"...";"84";"455";"455";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"71";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nova Fátima (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"290";"-";"-";"-";"-"
"Nova Ibiá (BA)";"-";"-";"-";"-";"6025";"-";"...";"3230";"14";"14";"-";"...";"-";"-";"-";"17";"-";"-";"-";"17";"2";"19";"-";"-";"-";"-";"27";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-"
"Nova Itarana (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"189";"189";"-";"...";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"83";"-";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-"
"Nova Redenção (BA)";"-";"-";"-";"-";"104";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nova Soure (BA)";"-";"-";"-";"-";"88";"-";"...";"-";"-";"-";"-";"...";"-";"136";"-";"100";"-";"-";"-";"718";"-";"210";"1210";"-";"210";"12";"68";"-";"-";"-";"-";"-";"-";"-";"50";"-";"-";"-"
"Nova Viçosa (BA)";"-";"-";"-";"-";"5021";"43";"...";"14";"908";"-";"908";"...";"-";"-";"-";"794";"-";"-";"-";"-";"-";"157";"-";"-";"8188";"-";"1011";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Horizonte (BA)";"-";"-";"-";"-";"2662";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Triunfo (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"70";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Olindina (BA)";"-";"-";"-";"-";"68";"-";"...";"-";"-";"-";"-";"...";"-";"70";"-";"-";"-";"-";"-";"-";"-";"23";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Oliveira dos Brejinhos (BA)";"-";"-";"-";"-";"5";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"42";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ouriçangas (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ourolândia (BA)";"-";"-";"-";"-";"7";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1019";"-";"-";"-";"-"
"Palmas de Monte Alto (BA)";"-";"-";"-";"-";"288";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"459";"-";"-";"-";"-";"-";"70";"25";"-";"100";"200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Palmeiras (BA)";"-";"-";"-";"-";"353";"-";"...";"-";"2";"2";"-";"...";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-";"8";"-";"163";"-";"119";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paramirim (BA)";"-";"-";"-";"-";"100";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"58";"-";"-";"-";"-";"-";"23";"-";"-";"-";"1695";"734";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paratinga (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Paripiranga (BA)";"-";"-";"-";"-";"84";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"145";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pau Brasil (BA)";"18";"-";"10";"-";"1110";"17";"...";"584";"105";"-";"105";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"43";"8";"-";"10";"5";"9";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"Paulo Afonso (BA)";"-";"-";"-";"-";"144";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"289";"-";"-";"-";"37";"-";"-";"-";"-";"6";"29";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18"
"Pé de Serra (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Pedrão (BA)";"-";"-";"-";"-";"58";"-";"...";"-";"-";"-";"-";"...";"-";"2";"-";"74";"-";"-";"-";"-";"-";"47";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pedro Alexandre (BA)";"-";"-";"-";"-";"8";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Piatã (BA)";"-";"-";"-";"1";"100";"-";"...";"-";"832";"832";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-";"226";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pilão Arcado (BA)";"-";"-";"-";"-";"5";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pindaí (BA)";"-";"-";"-";"-";"17";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"26";"-";"-";"-";"-";"-";"63";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pindobaçu (BA)";"-";"-";"-";"-";"682";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pintadas (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Piraí do Norte (BA)";"-";"-";"-";"-";"5851";"328";"...";"2284";"-";"-";"-";"...";"-";"-";"-";"29";"-";"-";"-";"-";"14";"35";"-";"-";"-";"-";"-";"-";"-";"59";"-";"-";"-";"-";"-";"-";"-";"-"
"Piripá (BA)";"-";"-";"-";"-";"6";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Piritiba (BA)";"-";"-";"-";"-";"127";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"86";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-"
"Planaltino (BA)";"-";"-";"-";"-";"3";"-";"...";"-";"2";"2";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"1401";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Planalto (BA)";"24";"-";"-";"-";"475";"-";"...";"-";"1694";"1694";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"54";"-";"-";"-";"-";"-";"-";"-";"81";"-";"-";"-"
"Poções (BA)";"-";"-";"-";"-";"1512";"-";"...";"-";"527";"527";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"771";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pojuca (BA)";"6";"-";"-";"-";"195";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"33";"-";"-";"-";"-";"-";"27";"-";"-";"19";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ponto Novo (BA)";"-";"-";"-";"-";"3101";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"1139";"-";"34";"-";"-";"1210";"305";"377";"-";"-";"-";"-";"-";"-";"13";"-";"-";"-";"-"
"Porto Seguro (BA)";"20";"-";"247";"-";"6100";"1270";"...";"865";"14958";"-";"14958";"...";"-";"-";"-";"20100";"100";"-";"-";"15";"-";"85";"350";"-";"27788";"5";"375";"-";"-";"10";"-";"-";"4024";"-";"10";"-";"200";"-"
"Potiraguá (BA)";"-";"-";"-";"-";"33";"-";"...";"12";"-";"-";"-";"...";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Prado (BA)";"5";"-";"-";"-";"3082";"18";"...";"353";"22692";"-";"22692";"...";"-";"-";"-";"1753";"-";"-";"-";"74";"-";"66";"46";"-";"10232";"-";"1922";"-";"-";"136";"-";"-";"1066";"-";"-";"-";"272";"-"
"Presidente Dutra (BA)";"-";"-";"-";"-";"44";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Presidente Jânio Quadros (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Presidente Tancredo Neves (BA)";"60";"-";"-";"-";"31911";"96";"...";"3058";"22";"-";"22";"...";"-";"-";"-";"60";"10";"-";"-";"-";"113";"192";"40";"-";"397";"-";"213";"-";"-";"121";"-";"-";"247";"-";"-";"-";"58";"-"
"Queimadas (BA)";"-";"-";"-";"-";"53";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"223";"-";"-";"-";"-"
