"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Área destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Madre de Deus (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Maetinga (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Maiquinique (BA)";"-";"-";"-";"-";"20";"-";"...";"26";"-";"-";"-";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mairi (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Malhada (BA)";"-";"-";"-";"-";"450";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Malhada de Pedras (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Manoel Vitorino (BA)";"-";"-";"-";"-";"2";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mansidão (BA)";"-";"-";"-";"-";"1";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Maracás (BA)";"79";"-";"-";"-";"15";"-";"...";"-";"361";"361";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"14";"20";"464";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-"
"Maragogipe (BA)";"-";"-";"-";"-";"39";"-";"...";"-";"-";"-";"-";"...";"-";"9";"-";"15";"-";"-";"-";"-";"-";"190";"25";"-";"1";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Maraú (BA)";"2";"-";"10";"-";"936";"895";"...";"10404";"134";"-";"134";"...";"-";"-";"-";"543";"59";"-";"-";"-";"14";"19";"-";"-";"-";"10";"-";"-";"-";"81";"-";"-";"15";"-";"-";"-";"9";"-"
"Marcionílio Souza (BA)";"-";"-";"-";"-";"6";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mascote (BA)";"-";"-";"-";"-";"82";"3";"...";"5600";"260";"-";"260";"...";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"-";"-";"-";"-";"-"
"Mata de São João (BA)";"-";"-";"-";"-";"16";"-";"...";"12";"-";"-";"-";"...";"-";"-";"-";"255";"-";"-";"-";"-";"-";"8";"21";"-";"20";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Matina (BA)";"-";"-";"-";"-";"7";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"2";"-";"-";"4";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Medeiros Neto (BA)";"-";"-";"-";"-";"9";"-";"...";"-";"89";"-";"89";"...";"-";"-";"-";"7";"-";"-";"-";"-";"-";"4";"-";"-";"181";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Miguel Calmon (BA)";"-";"-";"-";"-";"60";"-";"...";"-";"31";"31";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14";"-";"-";"-";"-";"-";"-";"35";"-";"-";"-";"-"
"Milagres (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-"
"Mirangaba (BA)";"-";"-";"-";"-";"390";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"657";"-";"-";"-";"-"
"Mirante (BA)";"-";"-";"-";"-";"20";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"102";"120";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monte Santo (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"200";"-";"-";"-";"-"
"Morpará (BA)";"-";"-";"-";"-";"1";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Morro do Chapéu (BA)";"-";"-";"-";"1";"46";"-";"...";"-";"448";"448";"-";"...";"-";"-";"-";"-";"-";"-";"-";"19";"-";"-";"-";"-";"15";"4";"273";"2";"-";"-";"-";"-";"-";"1320";"-";"-";"-";"6"
"Mortugaba (BA)";"-";"-";"-";"-";"12";"-";"...";"-";"17";"17";"-";"...";"-";"-";"-";"12";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mucugê (BA)";"-";"-";"-";"1";"20";"-";"...";"-";"1454";"1454";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"92";"-";"-";"-";"52";"235";"1";"-";"-";"-";"-";"-";"-";"118";"-";"-";"32"
"Mucuri (BA)";"-";"-";"-";"-";"143";"31";"...";"961";"601";"-";"601";"...";"-";"-";"-";"424";"-";"-";"-";"3";"-";"41";"9";"-";"715";"-";"30";"-";"-";"-";"-";"-";"6";"-";"-";"-";"2";"-"
"Mulungu do Morro (BA)";"-";"-";"-";"-";"4";"-";"...";"-";"1010";"1010";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"960";"-";"-";"-";"-"
"Mundo Novo (BA)";"-";"-";"-";"-";"50";"-";"...";"-";"43";"43";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"47";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Muniz Ferreira (BA)";"-";"-";"-";"-";"191";"-";"...";"114";"-";"-";"-";"...";"-";"-";"-";"-";"41";"-";"-";"-";"-";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Muquém do São Francisco (BA)";"-";"-";"-";"-";"24";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"7";"-";"-";"-";"2";"-";"-";"-";"-";"5";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Muritiba (BA)";"-";"-";"-";"-";"3";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"350";"500";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mutuípe (BA)";"40";"-";"5";"-";"1000";"66";"...";"8600";"21";"-";"21";"...";"-";"48";"-";"9";"-";"-";"-";"-";"100";"18";"-";"-";"-";"-";"19";"-";"-";"-";"-";"-";"7";"-";"-";"-";"7";"-"
"Nazaré (BA)";"-";"-";"-";"-";"71";"-";"...";"31";"-";"-";"-";"...";"-";"-";"-";"31";"76";"-";"-";"-";"-";"28";"52";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nilo Peçanha (BA)";"-";"-";"-";"-";"1100";"515";"...";"6900";"-";"-";"-";"...";"-";"-";"-";"50";"100";"-";"-";"-";"315";"-";"-";"-";"-";"-";"-";"-";"-";"98";"-";"-";"8";"-";"-";"-";"10";"-"
"Nordestina (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1512";"-";"-";"-";"-"
"Nova Canaã (BA)";"4";"-";"-";"-";"336";"-";"...";"220";"728";"728";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nova Fátima (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"420";"-";"-";"-";"-"
"Nova Ibiá (BA)";"-";"-";"-";"-";"474";"-";"...";"6284";"18";"18";"-";"...";"-";"-";"-";"3";"-";"-";"-";"2";"3";"3";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-"
"Nova Itarana (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"291";"291";"-";"...";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-"
"Nova Redenção (BA)";"-";"-";"-";"-";"5";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nova Soure (BA)";"-";"-";"-";"-";"5";"-";"...";"-";"-";"-";"-";"...";"-";"250";"-";"5";"-";"-";"-";"41";"-";"70";"110";"-";"21";"4";"22";"-";"-";"-";"-";"-";"-";"-";"5";"-";"-";"-"
"Nova Viçosa (BA)";"-";"-";"-";"-";"182";"41";"...";"55";"415";"-";"415";"...";"-";"-";"-";"124";"-";"-";"-";"-";"-";"15";"-";"-";"230";"-";"62";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Horizonte (BA)";"-";"-";"-";"-";"145";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Triunfo (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"400";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Olindina (BA)";"-";"-";"-";"-";"6";"-";"...";"-";"-";"-";"-";"...";"-";"180";"-";"-";"-";"-";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Oliveira dos Brejinhos (BA)";"-";"-";"-";"-";"2";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ouriçangas (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ourolândia (BA)";"-";"-";"-";"-";"1";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1300";"-";"-";"-";"-"
"Palmas de Monte Alto (BA)";"-";"-";"-";"-";"20";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"30";"-";"-";"-";"-";"-";"7";"5";"-";"10";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Palmeiras (BA)";"-";"-";"-";"-";"42";"-";"...";"-";"7";"7";"-";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"3";"-";"14";"-";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paramirim (BA)";"-";"-";"-";"-";"11";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"15";"-";"-";"-";"-";"-";"4";"-";"-";"-";"100";"45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paratinga (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Paripiranga (BA)";"-";"-";"-";"-";"10";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pau Brasil (BA)";"4";"-";"2";"-";"150";"14";"...";"2049";"50";"-";"50";"...";"-";"-";"-";"1";"-";"-";"-";"-";"-";"5";"1";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"Paulo Afonso (BA)";"-";"-";"-";"-";"18";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"25";"-";"-";"-";"5";"-";"-";"-";"-";"1";"5";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1"
"Pé de Serra (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Pedrão (BA)";"-";"-";"-";"-";"6";"-";"...";"-";"-";"-";"-";"...";"-";"3";"-";"12";"-";"-";"-";"-";"-";"5";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pedro Alexandre (BA)";"-";"-";"-";"-";"1";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Piatã (BA)";"-";"-";"-";"1";"10";"-";"...";"-";"1167";"1167";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pilão Arcado (BA)";"-";"-";"-";"-";"1";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pindaí (BA)";"-";"-";"-";"-";"4";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"3";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pindobaçu (BA)";"-";"-";"-";"-";"38";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pintadas (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Piraí do Norte (BA)";"-";"-";"-";"-";"530";"441";"...";"6600";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"-";"57";"10";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-"
"Piripá (BA)";"-";"-";"-";"-";"1";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Piritiba (BA)";"-";"-";"-";"-";"20";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-"
"Planaltino (BA)";"-";"-";"-";"-";"3";"-";"...";"-";"2";"2";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"238";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Planalto (BA)";"8";"-";"-";"-";"102";"-";"...";"-";"2178";"2178";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-"
"Poções (BA)";"-";"-";"-";"-";"126";"-";"...";"-";"765";"765";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"78";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pojuca (BA)";"1";"-";"-";"-";"20";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"10";"-";"-";"-";"-";"-";"3";"-";"-";"1";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ponto Novo (BA)";"-";"-";"-";"-";"134";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"60";"-";"3";"-";"-";"80";"35";"34";"-";"-";"-";"-";"-";"-";"18";"-";"-";"-";"-"
"Porto Seguro (BA)";"4";"-";"95";"-";"610";"975";"...";"1734";"4963";"-";"4963";"...";"-";"-";"-";"1675";"50";"-";"-";"1";"-";"15";"70";"-";"650";"1";"50";"-";"-";"5";"-";"-";"725";"-";"1";"-";"120";"-"
"Potiraguá (BA)";"-";"-";"-";"-";"6";"-";"...";"31";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Prado (BA)";"1";"-";"-";"-";"260";"15";"...";"1040";"6100";"-";"6100";"...";"-";"-";"-";"380";"-";"-";"-";"6";"-";"5";"3";"-";"458";"-";"100";"-";"-";"33";"-";"-";"400";"-";"-";"-";"300";"-"
"Presidente Dutra (BA)";"-";"-";"-";"-";"3";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Presidente Jânio Quadros (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Presidente Tancredo Neves (BA)";"35";"-";"-";"-";"3000";"134";"...";"8400";"21";"-";"21";"...";"-";"-";"-";"35";"7";"-";"-";"-";"400";"25";"10";"-";"17";"-";"21";"-";"-";"25";"-";"-";"92";"-";"-";"-";"133";"-"
"Queimadas (BA)";"-";"-";"-";"-";"3";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"236";"-";"-";"-";"-"
"Quijingue (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100";"-";"-";"-";"-"
"Quixabeira (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Rafael Jambeiro (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Remanso (BA)";"-";"-";"-";"-";"4";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Retirolândia (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4000";"-";"-";"-";"-"
"Riachão das Neves (BA)";"-";"-";"-";"-";"906";"-";"...";"80";"-";"-";"-";"...";"-";"-";"-";"17";"-";"-";"-";"5";"-";"2";"53";"-";"164";"4";"42";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Riachão do Jacuípe (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"350";"-";"-";"-";"-"
"Riacho de Santana (BA)";"-";"-";"-";"-";"6";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"1";"-";"-";"-";"-";"-";"17";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ribeira do Amparo (BA)";"-";"-";"-";"-";"45";"-";"...";"-";"-";"-";"-";"...";"-";"288";"-";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ribeira do Pombal (BA)";"-";"-";"-";"-";"8";"-";"...";"-";"-";"-";"-";"...";"-";"2300";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ribeirão do Largo (BA)";"-";"-";"-";"-";"208";"-";"...";"43";"1364";"1364";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Rio de Contas (BA)";"-";"-";"-";"1";"32";"-";"...";"-";"197";"197";"-";"...";"-";"-";"-";"3";"-";"-";"-";"-";"-";"218";"-";"-";"-";"900";"650";"-";"-";"-";"-";"-";"-";"-";"76";"-";"-";"-"
"Rio do Antônio (BA)";"-";"-";"-";"-";"15";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Rio do Pires (BA)";"-";"-";"-";"-";"2";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Rio Real (BA)";"-";"-";"-";"-";"15";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"969";"-";"-";"-";"-";"-";"16830";"194";"-";"100";"-";"800";"-";"-";"-";"-";"-";"-";"-";"51";"-";"-";"-"
"Rodelas (BA)";"-";"-";"-";"-";"25";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"2333";"-";"-";"-";"11";"-";"-";"-";"-";"36";"75";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ruy Barbosa (BA)";"-";"-";"-";"-";"2";"-";"...";"-";"10";"10";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Salinas da Margarida (BA)";"-";"-";"-";"-";"1";"-";"...";"-";"-";"-";"-";"...";"-";"25";"-";"5";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Salvador (BA)";"-";"-";"-";"-";"2";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Bárbara (BA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Santa Brígida (BA)";"-";"-";"-";"-";"1";"-";"...";"-";"-";"-";"-";"...";"-";"85";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Cruz Cabrália (BA)";"7";"-";"4";"-";"250";"19";"...";"225";"1530";"-";"1530";"...";"-";"-";"-";"725";"-";"-";"-";"2";"-";"-";"101";"-";"200";"-";"22";"-";"-";"-";"-";"-";"75";"-";"-";"-";"34";"-"
"Santa Cruz da Vitória (BA)";"-";"-";"-";"-";"-";"-";"...";"326";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Inês (BA)";"-";"-";"-";"-";"4";"-";"...";"-";"10";"10";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santaluz (BA)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12960";"-";"-";"-";"-"
"Santa Luzia (BA)";"-";"-";"-";"-";"70";"112";"...";"7267";"942";"-";"942";"...";"-";"-";"-";"204";"-";"-";"-";"4";"-";"-";"-";"-";"5";"-";"5";"-";"-";"16";"-";"-";"28";"-";"-";"-";"-";"-"
"Santa Maria da Vitória (BA)";"-";"-";"-";"-";"31";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"310";"64";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
