"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Valor da produção (Mil Reais)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Brasiléia (AC)";"-";"-";"-";"-";"2582";"20";"...";"-";"2464";"-";"2464";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"174";"118";"-";"-";"-";"132";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bujari (AC)";"-";"-";"-";"-";"3502";"90";"...";"-";"102";"-";"102";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"490";"872";"-";"-";"-";"180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Capixaba (AC)";"-";"-";"-";"-";"5486";"170";"...";"-";"142";"-";"142";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"340";"234";"-";"-";"-";"8100";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cruzeiro do Sul (AC)";"-";"-";"-";"-";"6327";"-";"...";"-";"1538";"-";"1538";"...";"-";"-";"-";"187";"-";"-";"-";"-";"-";"368";"116";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Epitaciolândia (AC)";"-";"-";"41";"-";"4862";"20";"...";"-";"812";"-";"812";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"227";"117";"-";"-";"-";"198";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Feijó (AC)";"-";"-";"-";"-";"8740";"-";"...";"-";"715";"-";"715";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"92";"108";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jordão (AC)";"-";"-";"-";"-";"1265";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53";"27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mâncio Lima (AC)";"-";"-";"-";"-";"467";"-";"...";"-";"4399";"-";"4399";"...";"-";"-";"-";"166";"-";"-";"-";"-";"-";"48";"75";"-";"-";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Manoel Urbano (AC)";"-";"-";"-";"-";"5544";"-";"...";"-";"1530";"-";"1530";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"116";"228";"-";"-";"-";"127";"-";"-";"-";"-";"-";"-";"-";"-";"-";"91";"-"
"Marechal Thaumaturgo (AC)";"-";"-";"-";"-";"1162";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"16";"-";"-";"-";"-";"-";"57";"29";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Plácido de Castro (AC)";"-";"-";"192";"-";"6475";"110";"...";"-";"986";"-";"986";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1323";"1365";"-";"-";"-";"666";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Porto Walter (AC)";"-";"-";"-";"-";"1329";"-";"...";"-";"402";"-";"402";"...";"-";"-";"-";"13";"-";"-";"-";"-";"-";"65";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Rio Branco (AC)";"-";"-";"-";"-";"9013";"40";"...";"-";"84";"-";"84";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"528";"450";"-";"-";"-";"974";"-";"-";"-";"-";"-";"-";"-";"-";"-";"120";"-"
"Rodrigues Alves (AC)";"-";"-";"-";"-";"569";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"163";"-";"-";"-";"-";"-";"59";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Rosa do Purus (AC)";"-";"-";"-";"-";"2431";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"83";"81";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-"
"Senador Guiomard (AC)";"-";"-";"-";"-";"4426";"240";"...";"-";"1560";"-";"1560";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"389";"431";"-";"-";"-";"1341";"-";"-";"63";"-";"-";"-";"-";"-";"-";"42";"-"
"Sena Madureira (AC)";"-";"-";"-";"-";"3464";"30";"...";"-";"1579";"-";"1579";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"510";"315";"-";"-";"-";"176";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"-"
"Tarauacá (AC)";"-";"-";"-";"-";"10688";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"179";"82";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Xapuri (AC)";"-";"-";"-";"-";"3324";"45";"...";"-";"790";"-";"790";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"146";"36";"-";"-";"-";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Porto Acre (AC)";"-";"-";"-";"-";"13163";"-";"...";"-";"462";"-";"462";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"648";"303";"-";"-";"-";"462";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"-"
"Alvarães (AM)";"-";"-";"1040";"-";"1380";"-";"...";"30";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Amaturá (AM)";"15";"-";"193";"-";"6759";"-";"...";"30";"-";"-";"-";"...";"-";"-";"-";"18";"-";"-";"-";"32";"-";"20";"15";"-";"90";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anamã (AM)";"-";"-";"616";"-";"1890";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1800";"-";"600";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anori (AM)";"-";"-";"12240";"-";"1350";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"30";"-";"-";"12";"-";"135";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Apuí (AM)";"-";"-";"-";"-";"2800";"-";"...";"900";"1575";"-";"1575";"...";"-";"-";"-";"56";"-";"-";"-";"-";"800";"563";"56";"-";"175";"-";"116";"-";"-";"-";"-";"-";"160";"-";"-";"-";"-";"-"
"Atalaia do Norte (AM)";"192";"-";"44";"-";"12488";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"30";"-";"65";"72";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Autazes (AM)";"-";"-";"840";"-";"6992";"-";"...";"600";"36";"-";"36";"...";"-";"-";"-";"-";"-";"-";"-";"120";"156";"900";"93";"-";"1372";"-";"2253";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barcelos (AM)";"-";"-";"957";"-";"5100";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
