"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Valor da produção (Mil Reais)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Ibiraci (MG)";"12870";"-";"-";"-";"648";"-";"...";"-";"676836";"676836";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13709";"-";"-";"-";"-";"126";"-";"-";"-";"-";"-";"-";"-";"1833";"-";"-";"135"
"Ibirité (MG)";"50";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22";"23";"-";"-";"55";"-";"-";"-";"-";"-";"-";"-";"-";"26";"-";"-";"-"
"Ibitiúra de Minas (MG)";"-";"-";"-";"-";"900";"-";"...";"-";"43382";"43382";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ibituruna (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"21233";"21233";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"-";"-";"-"
"Icaraí de Minas (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"139";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Igarapé (MG)";"28";"-";"-";"-";"120";"-";"...";"-";"125";"125";"-";"...";"-";"-";"-";"-";"-";"-";"-";"193";"-";"46";"203";"-";"-";"-";"152";"-";"-";"-";"-";"-";"-";"-";"338";"-";"-";"-"
"Igaratinga (MG)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Iguatama (MG)";"-";"-";"-";"-";"99";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ijaci (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"8815";"8815";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ilicínea (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"198047";"198047";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"49";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90";"-";"-";"-"
"Imbé de Minas (MG)";"149";"-";"-";"-";"10391";"-";"...";"-";"93177";"93177";"-";"...";"-";"-";"-";"23";"-";"-";"-";"-";"-";"471";"94";"-";"-";"19";"92";"-";"-";"-";"-";"-";"-";"-";"910";"-";"-";"-"
"Inconfidentes (MG)";"-";"-";"-";"-";"603";"-";"...";"-";"120599";"120599";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"108";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"147";"-";"-";"94"
"Indaiabira (MG)";"-";"-";"-";"-";"243";"-";"...";"-";"29109";"29109";"-";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"30";"-";"-";"-";"260";"-";"-";"-";"-";"-";"-";"-";"-";"15";"-";"-";"-"
"Indianópolis (MG)";"103";"-";"-";"-";"12243";"3236";"...";"-";"180771";"180771";"-";"...";"-";"-";"-";"-";"-";"-";"-";"665";"-";"-";"59";"-";"151";"-";"1355";"-";"-";"152";"-";"-";"-";"-";"28";"-";"-";"-"
"Ingaí (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"15052";"15052";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Inhapim (MG)";"1384";"-";"-";"-";"12460";"-";"...";"-";"91290";"91290";"-";"...";"-";"-";"-";"114";"-";"-";"-";"-";"-";"353";"168";"-";"-";"630";"2237";"-";"-";"-";"-";"-";"-";"-";"364";"-";"-";"-"
"Inhaúma (MG)";"-";"-";"-";"-";"158";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52";"67";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Inimutaba (MG)";"-";"-";"-";"-";"1329";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ipaba (MG)";"-";"-";"-";"-";"611";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ipanema (MG)";"35";"-";"-";"-";"660";"-";"...";"-";"12015";"869";"11147";"...";"-";"-";"-";"81";"-";"-";"-";"-";"-";"120";"-";"-";"-";"13";"-";"-";"-";"-";"-";"-";"34";"-";"14";"-";"-";"-"
"Ipatinga (MG)";"-";"-";"-";"-";"248";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"36";"-";"-";"95";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ipiaçu (MG)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Ipuiúna (MG)";"-";"-";"-";"-";"84";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"96";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Iraí de Minas (MG)";"3438";"-";"-";"-";"206";"-";"...";"-";"64365";"64365";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"-";"-";"-";"154";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itabira (MG)";"-";"-";"-";"-";"1505";"-";"...";"-";"125";"125";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"77";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"82";"-";"-";"-"
"Itabirinha (MG)";"-";"-";"-";"-";"216";"-";"...";"-";"4481";"1815";"2666";"...";"-";"-";"-";"33";"-";"-";"-";"-";"-";"48";"-";"-";"32";"265";"-";"-";"-";"-";"-";"-";"255";"-";"-";"-";"-";"-"
"Itabirito (MG)";"-";"-";"-";"-";"192";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"71";"-";"-";"-";"-";"-";"-";"-";"798";"-";"-";"-";"-";"-";"-";"-";"31"
"Itacambira (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"40";"40";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"57";"-";"-";"-";"47";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itacarambi (MG)";"-";"-";"-";"-";"15899";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itaguara (MG)";"343";"-";"-";"-";"490";"-";"...";"-";"255";"255";"-";"...";"-";"-";"-";"-";"-";"-";"-";"59";"-";"74";"25";"-";"-";"-";"300";"-";"-";"-";"-";"-";"-";"-";"1680";"-";"-";"-"
"Itaipé (MG)";"-";"-";"-";"-";"1458";"-";"...";"-";"6939";"6939";"-";"...";"-";"-";"-";"19";"-";"-";"-";"-";"-";"64";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"65";"-"
"Itajubá (MG)";"49";"-";"-";"-";"5426";"-";"...";"-";"649";"649";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"208";"-";"-";"-";"-";"116";"-";"-";"-";"-";"-";"-";"-";"333";"-";"-";"-"
"Itamarandiba (MG)";"-";"-";"-";"-";"1270";"-";"...";"-";"23027";"22780";"247";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"62";"86";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"155";"17"
"Itamarati de Minas (MG)";"-";"-";"-";"-";"297";"-";"...";"-";"1683";"1683";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"-";"-";"-";"162";"-";"-";"-";"450";"-";"-";"-";"-";"594";"-";"-";"-"
"Itambacuri (MG)";"-";"-";"-";"-";"1680";"-";"...";"-";"4844";"4626";"218";"...";"-";"-";"-";"53";"-";"-";"-";"-";"-";"241";"-";"-";"-";"14";"-";"-";"-";"240";"-";"-";"-";"-";"225";"-";"-";"-"
"Itambé do Mato Dentro (MG)";"-";"-";"-";"-";"129";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itamogi (MG)";"71";"-";"-";"-";"344";"-";"...";"-";"322877";"322877";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itamonte (MG)";"-";"-";"-";"-";"80";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"200";"-";"-";"-";"-";"-";"-"
"Itanhandu (MG)";"-";"-";"-";"176";"87";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"86";"130";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"76";"-";"-";"-"
"Itanhomi (MG)";"-";"-";"-";"-";"334";"-";"...";"-";"6737";"6737";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itaobim (MG)";"-";"-";"-";"-";"6240";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"133";"-";"-";"-";"-";"-";"21";"18";"-";"250";"1080";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itapagipe (MG)";"-";"-";"-";"-";"25";"2695";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2668";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itapecerica (MG)";"21";"-";"-";"-";"108";"-";"...";"-";"14211";"14211";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1332";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"466";"-";"-";"30"
"Itapeva (MG)";"-";"-";"-";"162";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"94"
"Itatiaiuçu (MG)";"108";"-";"-";"-";"235";"-";"...";"-";"-";"-";"-";"...";"193";"-";"-";"-";"-";"-";"-";"-";"-";"23";"52";"-";"-";"-";"41";"-";"-";"-";"-";"-";"-";"-";"44";"-";"-";"-"
"Itaú de Minas (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"210";"210";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itaúna (MG)";"43";"-";"-";"-";"151";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18";"-";"-";"-";"54";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itaverava (MG)";"278";"-";"-";"-";"72";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16";"-";"-";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itinga (MG)";"-";"-";"-";"-";"4617";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"37";"-";"-";"-";"290";"-";"-";"-";"-";"-";"-";"53";"-";"-";"-";"-";"-"
"Itueta (MG)";"-";"-";"-";"-";"999";"-";"...";"45";"21387";"-";"21387";"...";"-";"-";"-";"173";"-";"-";"-";"-";"-";"52";"-";"-";"-";"47";"-";"-";"-";"-";"-";"-";"656";"-";"-";"-";"-";"-"
"Ituiutaba (MG)";"-";"-";"-";"-";"126";"3012";"...";"-";"74";"74";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39495";"-";"-";"37";"-";"-";"-";"-";"1320";"-";"-";"-";"-";"93";"-";"-";"75"
"Itumirim (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"11561";"11561";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"216";"-";"-";"-"
"Iturama (MG)";"-";"-";"-";"-";"66";"29400";"...";"-";"-";"-";"-";"...";"-";"-";"-";"230";"-";"-";"-";"-";"-";"-";"12917";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"21";"-";"-";"-"
"Itutinga (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"3554";"3554";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jaboticatubas (MG)";"459";"-";"-";"-";"3328";"-";"...";"-";"213";"213";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2570";"164";"-";"-";"1824";"1018";"-";"-";"-";"-";"-";"-";"-";"750";"-";"-";"-"
"Jacinto (MG)";"-";"-";"-";"-";"77";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"41";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jacuí (MG)";"3225";"-";"-";"-";"-";"-";"...";"-";"96648";"96648";"-";"...";"-";"-";"-";"-";"-";"-";"170";"-";"-";"150";"18";"-";"-";"33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38"
"Jacutinga (MG)";"56";"-";"-";"-";"278";"-";"...";"-";"94113";"94113";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"88";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"342"
"Jaguaraçu (MG)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Jaíba (MG)";"1350";"-";"-";"-";"427362";"-";"...";"-";"153";"-";"153";"...";"-";"-";"-";"154";"-";"-";"-";"3192";"-";"2536";"86580";"-";"24544";"56000";"5411";"-";"-";"-";"-";"-";"-";"-";"7280";"-";"31";"21865"
"Jampruca (MG)";"-";"-";"-";"-";"175";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"13";"-";"-";"-";"-";"36";"83";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Janaúba (MG)";"74";"-";"-";"-";"145120";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"313";"-";"-";"-";"630";"-";"232";"2300";"-";"3304";"20768";"290";"-";"-";"-";"-";"-";"-";"-";"200";"-";"-";"900"
"Januária (MG)";"-";"-";"-";"-";"719";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"234";"-";"-";"-";"-";"-";"16";"47";"-";"-";"84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Japaraíba (MG)";"-";"-";"-";"-";"52";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Japonvar (MG)";"19";"-";"-";"-";"30";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jeceaba (MG)";"140";"-";"-";"-";"97";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2048";"-";"-";"-"
"Jenipapo de Minas (MG)";"-";"-";"-";"-";"80";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jequeri (MG)";"-";"-";"-";"-";"264";"-";"...";"-";"130017";"130017";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jequitaí (MG)";"-";"-";"-";"-";"7425";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jequitibá (MG)";"186";"-";"-";"-";"334";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"71";"-";"-";"319";"472";"-";"-";"-";"-";"-";"-";"-";"22";"-";"-";"52"
"Jequitinhonha (MG)";"-";"-";"-";"-";"35408";"-";"...";"-";"2952";"2952";"-";"...";"-";"-";"-";"378";"-";"-";"-";"-";"-";"112";"-";"-";"153";"162";"168";"-";"-";"-";"-";"-";"-";"-";"16";"-";"62";"-"
"Jesuânia (MG)";"-";"-";"-";"-";"2640";"-";"...";"-";"52946";"52946";"-";"...";"-";"-";"-";"-";"-";"-";"-";"420";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"84";"-";"-";"-"
"Joaíma (MG)";"-";"-";"-";"-";"293";"-";"...";"-";"788";"-";"788";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"88";"-";"-";"-";"-";"-"
"Joanésia (MG)";"-";"-";"-";"-";"41";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18";"-";"-";"-"
"João Monlevade (MG)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"João Pinheiro (MG)";"25";"-";"-";"-";"799";"-";"...";"-";"197386";"197386";"-";"...";"-";"-";"-";"4050";"-";"-";"-";"96";"-";"1451";"147";"-";"525";"36750";"1260";"-";"-";"-";"-";"-";"-";"-";"150";"-";"-";"10620"
"Joaquim Felício (MG)";"-";"-";"-";"-";"198";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"41";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jordânia (MG)";"-";"-";"-";"-";"228";"-";"...";"920";"-";"-";"-";"...";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"19";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-";"-";"18";"-";"-";"-"
"José Gonçalves de Minas (MG)";"-";"-";"-";"-";"265";"-";"...";"-";"6270";"6270";"-";"...";"-";"-";"-";"14";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"José Raydan (MG)";"-";"-";"-";"-";"828";"-";"...";"-";"3553";"-";"3553";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Josenópolis (MG)";"-";"-";"-";"-";"56";"-";"...";"-";"37";"37";"-";"...";"-";"-";"-";"13";"-";"-";"-";"-";"-";"35";"-";"-";"155";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14";"-";"-";"-"
"Nova União (MG)";"18";"-";"-";"-";"87230";"-";"...";"-";"63";"63";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40";"195";"-";"-";"384";"48";"-";"-";"-";"-";"-";"-";"-";"29";"-";"-";"-"
"Juatuba (MG)";"-";"-";"-";"-";"2200";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"781";"-";"-";"-"
"Juiz de Fora (MG)";"-";"-";"-";"-";"567";"-";"...";"-";"154";"154";"-";"...";"525";"-";"-";"-";"-";"-";"-";"-";"-";"77";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"75";"-";"-";"-"
"Juramento (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"31"
"Juruaia (MG)";"148";"-";"-";"-";"-";"-";"...";"-";"174176";"174176";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Juvenília (MG)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Ladainha (MG)";"-";"-";"-";"-";"2070";"-";"...";"-";"5274";"2159";"3116";"...";"-";"-";"-";"27";"-";"-";"-";"-";"-";"158";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"48";"-";"-";"-"
"Lagamar (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"17220";"17220";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa da Prata (MG)";"18";"-";"-";"-";"161";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa dos Patos (MG)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Lagoa Dourada (MG)";"93";"-";"-";"-";"72";"-";"...";"-";"7996";"7996";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100";"-";"-";"-";"495";"-";"-";"-";"-";"-";"-";"-";"95";"-";"-";"-"
"Lagoa Formosa (MG)";"120";"-";"-";"-";"5346";"-";"...";"-";"38100";"38100";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1520";"-";"-";"-";"18";"4141";"-";"-";"960";"-";"-";"-";"-";"192";"-";"-";"80"
"Lagoa Grande (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"7461";"7461";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8136";"165";"325";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1989"
"Lagoa Santa (MG)";"42";"-";"-";"-";"27";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"36";"-";"1391";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"175";"-";"-";"22"
"Lajinha (MG)";"-";"-";"-";"-";"881";"-";"...";"-";"265580";"265580";"-";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"52";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lambari (MG)";"-";"-";"-";"-";"3000";"-";"...";"-";"167351";"167351";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"756";"-";"-";"-"
"Lamim (MG)";"-";"-";"-";"-";"-";"-";"...";"-";"656";"656";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Laranjal (MG)";"-";"-";"-";"-";"47";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"47";"-";"-";"-";"-";"-";"132";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"-";"-";"-"
"Lassance (MG)";"54";"-";"-";"-";"27788";"-";"...";"-";"4396";"4396";"-";"...";"-";"-";"-";"312";"-";"-";"-";"-";"-";"4101";"18";"63";"33810";"119";"158";"-";"-";"-";"-";"-";"-";"-";"1050";"-";"-";"10176"
"Lavras (MG)";"155";"-";"-";"-";"773";"-";"...";"-";"161279";"161279";"-";"...";"132";"-";"-";"-";"-";"-";"-";"360";"-";"294";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"120"
"Leandro Ferreira (MG)";"-";"-";"-";"-";"30";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Leme do Prado (MG)";"-";"-";"-";"-";"79";"-";"...";"-";"3942";"3942";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Leopoldina (MG)";"-";"-";"-";"-";"149";"66";"...";"270";"2199";"2100";"99";"...";"720";"-";"-";"66";"-";"-";"-";"-";"-";"54";"-";"815";"-";"631";"-";"-";"-";"-";"1024";"-";"-";"-";"-";"-";"-";"-"
"Liberdade (MG)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
